环境维度,环境分类,风格因子,周数,风格年化收益,沪深300年化收益,年化超额收益,累计相对超额收益,信息比率,胜率,风格最大回撤,相对最大回撤
历史阶段,地产压力与红利占优,动量,144,-0.1560588317420707,-0.15394694935304676,-0.0028511230205078377,-0.006897184652804422,-0.033103030179760934,0.5277777777777778,-0.37183377562080266,-0.10602372741733057
历史阶段,地产调控震荡期,价值,49,-0.13616165470311248,-0.02722164130841409,-0.1152368433824304,-0.10588284168089779,-1.4869162671155487,0.3877551020408163,-0.2969940205858309,-0.12118080073162263
历史阶段,地产调控震荡期,成长,49,-0.04160060663101062,-0.02722164130841409,-0.0099917513077163,-0.013934538232412863,-0.2585219250910292,0.5510204081632653,-0.30202066893818935,-0.03938967688111272
历史阶段,地产调控震荡期,红利,49,-0.06661446509714108,-0.02722164130841409,-0.03985865298611184,-0.038204133565164944,-1.0772827072987672,0.4897959183673469,-0.30403513317657593,-0.05542035872101658
历史阶段,地产调控震荡期,低波,49,-0.06825356393617743,-0.02722164130841409,-0.05021631939895164,-0.03979576215616676,-0.9859756698798932,0.46938775510204084,-0.2618140700323498,-0.08887326871983103
历史阶段,地产调控震荡期,质量,49,0.17624780861809852,-0.02722164130841409,0.19900426949645583,0.19598623492913303,1.2799159128782611,0.6938775510204082,-0.25844788109495664,-0.12372458999861935
历史阶段,地产调控震荡期,规模,49,0.21030147239711705,-0.02722164130841409,0.23045353531070792,0.22858677104174152,1.3896116184434955,0.673469387755102,-0.2569345318662859,-0.12955412663829347
历史阶段,地产调控震荡期,动量,49,0.108627016313253,-0.02722164130841409,0.13419316274224233,0.13108768856274944,1.4365581468821016,0.6326530612244898,-0.2769907211115099,-0.06581275863938918
历史阶段,政策修复反弹,价值,14,1.5051752858994791,2.153561035071223,-0.2368969138859347,-0.06008874154806865,-3.671070955087407,0.2857142857142857,-0.035057917703160246,-0.06758950654394591
历史阶段,政策修复反弹,成长,14,2.8839294862614056,2.153561035071223,0.2120029426480967,0.05768740663963179,3.1809903514168214,0.7142857142857143,-0.026679693887001754,-0.01899341666880483
历史阶段,政策修复反弹,红利,14,1.8756620830672985,2.153561035071223,-0.10175914324246067,-0.02453048228942356,-1.4315849710367516,0.35714285714285715,-0.011232958073486121,-0.05170754606579431
历史阶段,政策修复反弹,低波,14,1.5306706907005023,2.153561035071223,-0.22390708581904448,-0.05752291773661489,-3.573327098538707,0.35714285714285715,-0.03937156483151105,-0.05804563951573116
历史阶段,政策修复反弹,质量,14,1.8461093555714245,2.153561035071223,-0.10028790081507553,-0.027239647782307475,-0.6237012905713143,0.42857142857142855,-0.047131311514763685,-0.07250969090757431
历史阶段,政策修复反弹,规模,14,2.549125729802982,2.153561035071223,0.12750386115403936,0.0323262288057633,0.85512860331621,0.5714285714285714,-0.026114576380417587,-0.06012910434600682
历史阶段,政策修复反弹,动量,14,2.3082675672877273,2.153561035071223,0.049348994557327365,0.012977583461528885,0.7547074411149763,0.6428571428571429,-0.030983095555267237,-0.0347819494336532
历史阶段,政策转向修复观察,价值,91,0.1103331522650306,0.2834064358227413,-0.15353994891900516,-0.22392103011457232,-1.298441797616467,0.42857142857142855,-0.08771516270801993,-0.23319011759952357
历史阶段,政策转向修复观察,成长,91,0.4178205312501033,0.2834064358227413,0.11079477971757928,0.19041895741100845,1.5391608726717774,0.5824175824175825,-0.14267872615194332,-0.03956133398917838
历史阶段,政策转向修复观察,红利,91,0.08578009386829955,0.2834064358227413,-0.17571618658539265,-0.2537043515361591,-1.2069565909322761,0.4725274725274725,-0.07068295980341943,-0.25653501168558734
历史阶段,政策转向修复观察,低波,91,0.15476943426522438,0.2834064358227413,-0.11215462073636603,-0.16875438454825875,-1.0519403550742024,0.3956043956043956,-0.08046424307345512,-0.18143481777192827
历史阶段,政策转向修复观察,质量,91,0.27289780211760917,0.2834064358227413,-0.004705735068339173,-0.014285110676284352,-0.035159439271290976,0.4945054945054945,-0.12177417732721862,-0.12268738438851079
历史阶段,政策转向修复观察,规模,91,0.4520714188002275,0.2834064358227413,0.13709898347083804,0.24119948818421277,1.3084296404300257,0.5714285714285714,-0.1463007203925708,-0.06910739457759074
历史阶段,政策转向修复观察,动量,91,0.36728562787874064,0.2834064358227413,0.06273081384083204,0.11716240670326039,0.5678265975920723,0.5164835164835165,-0.09444940837641846,-0.09139568922904562
历史阶段,杠杆资金与成长牛市,价值,55,1.2884282744384437,1.3738477520711925,-0.03161211347000042,-0.03801956798023509,-0.37843599853982013,0.41818181818181815,-0.09105223422224518,-0.08782031902564602
历史阶段,杠杆资金与成长牛市,成长,55,1.113356763126013,1.3738477520711925,-0.12086483790194158,-0.1156836677677282,-2.235088924324161,0.38181818181818183,-0.051145547523643864,-0.12051419920615825
历史阶段,杠杆资金与成长牛市,红利,55,1.6300034463511075,1.3738477520711925,0.10312119736386227,0.11447662193472752,0.9868576670350973,0.6545454545454545,-0.06367780486732377,-0.0963814935147661
历史阶段,杠杆资金与成长牛市,低波,55,1.4540972878907934,1.3738477520711925,0.03497076639457012,0.035790510634774675,0.5664515034795241,0.5272727272727272,-0.07161345696556931,-0.042509218833538864
历史阶段,杠杆资金与成长牛市,质量,55,1.9347909203402858,1.3738477520711925,0.2181024184740619,0.2515239607879618,1.0344895506247744,0.6363636363636364,-0.057989099764363394,-0.27212897062983044
历史阶段,杠杆资金与成长牛市,规模,55,1.804809416012878,1.3738477520711925,0.1698805388239364,0.19297222139086245,0.8810921996538829,0.6363636363636364,-0.058740167746837546,-0.2604038881379145
历史阶段,杠杆资金与成长牛市,动量,55,1.2594651539240505,1.3738477520711925,-0.04585396189844669,-0.050892409176163333,-0.6264745323140544,0.5272727272727272,-0.08397029627367125,-0.0686920739753768
历史阶段,流动性与产业牛市,价值,89,0.06671685214520218,0.1979367615707499,-0.11824767510275641,-0.18009301564905367,-0.8934056190386104,0.3707865168539326,-0.1744557854177331,-0.1857176016122366
历史阶段,流动性与产业牛市,成长,89,0.2906544343541124,0.1979367615707499,0.08285213198876955,0.136090466184702,1.048910688651125,0.5730337078651685,-0.2207007581388436,-0.07799210531509726
历史阶段,流动性与产业牛市,红利,89,0.15489496401377267,0.1979367615707499,-0.04221126239104145,-0.060706646401176956,-0.25887761300729617,0.4044943820224719,-0.13523405292856105,-0.2590451190754052
历史阶段,流动性与产业牛市,低波,89,0.08384167970796752,0.1979367615707499,-0.10804797267056977,-0.15743625057786037,-1.2172322613248077,0.3595505617977528,-0.14585470917488852,-0.18405783361145045
历史阶段,流动性与产业牛市,质量,89,0.3706230836127289,0.1979367615707499,0.13908183600617216,0.2592091503436409,0.7815872422092215,0.5617977528089888,-0.0982028974952639,-0.18456337372818388
历史阶段,流动性与产业牛市,规模,89,0.2436979891728741,0.1979367615707499,0.03365650400355719,0.06626615834250771,0.26125808550377566,0.48314606741573035,-0.09114318009038047,-0.20930243227324075
历史阶段,流动性与产业牛市,动量,89,0.3160494256232058,0.1979367615707499,0.11036187575346221,0.17461714050366806,0.8816233887071818,0.6067415730337079,-0.2507406687036886,-0.13038715496852027
历史阶段,疫情前后震荡,价值,51,-0.16649152156633507,-0.096182191487998,-0.08321425522893738,-0.07635413463365037,-1.4948378923643593,0.35294117647058826,-0.17624586895274652,-0.1180074055305178
历史阶段,疫情前后震荡,成长,51,-0.029184484201125183,-0.096182191487998,0.07436979469446732,0.0726513587891573,1.3784054565795614,0.6274509803921569,-0.12159327109431417,-0.03324287245528201
历史阶段,疫情前后震荡,红利,51,-0.2194722520203668,-0.096182191487998,-0.14782172684536787,-0.13397125075382166,-2.7029774629504617,0.35294117647058826,-0.2087763544833776,-0.14154065223680845
历史阶段,疫情前后震荡,低波,51,-0.13153674762917622,-0.096182191487998,-0.04458534288713444,-0.03837928320205086,-0.8780391716484648,0.5098039215686274,-0.1380640759312174,-0.09909738787417632
历史阶段,疫情前后震荡,质量,51,-0.1653429719719155,-0.096182191487998,-0.06992409704684673,-0.0751058710455913,-0.6805675790784781,0.45098039215686275,-0.19327230780680205,-0.13343666529034204
历史阶段,疫情前后震荡,规模,51,-0.13948155012099173,-0.096182191487998,-0.041706187077025454,-0.04700788885491425,-0.4395796547461585,0.45098039215686275,-0.196986238617193,-0.11934108215962713
历史阶段,疫情前后震荡,动量,51,-0.04884983892764483,-0.096182191487998,0.05428613410550235,0.05133683348486584,0.746576269288317,0.5882352941176471,-0.1309042020495792,-0.0422976493336471
